Date: 2023-12-13 9:59, Computer Name: BMA0005308, Username: moorjay5 - Ran Componet Tracking script. 
Date: 2024-03-29 19:46, Computer Name: BMA0008531, Username: jametim5 - Ran PTX Health Check script. 
Date: 2024-03-29 20:21, Computer Name: BMA0008531, Username: jametim5 - Ran AVI/MM2 reboot script. 
Date: 2024-03-29 21:43, Computer Name: BMA0008531, Username: jametim5 - Ran IP Finder script. 
Date: 2024-03-29 21:43, Computer Name: BMA0008531, Username: jametim5 - Ran PTX Health Check script. 
Date: 2024-03-31 13:41, Computer Name: BMA0008531, Username: jametim5 - Ran IP Finder script. 
Date: 2024-03-31 13:41, Computer Name: BMA0008531, Username: jametim5 - Ran PTX Health Check script. 
Date: 2024-03-31 13:53, Computer Name: BMA0008531, Username: jametim5 - Ran IP Finder script. 
Date: 2024-04-03 7:45, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-03 7:46, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-03 7:55, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-03 9:29, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-04 10:58, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-04 10:59, Computer Name: BMA0005305, Username: mccabrad - Ran PTX Health Check script. 
Date: 2024-04-04 16:48, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-08 8:11, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-08 14:20, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-08 14:21, Computer Name: BMA0005305, Username: mccabrad - Ran PTX Health Check script. 
Date: 2024-04-09 10:21, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-09 10:22, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-09 10:22, Computer Name: BMA0005305, Username: mccabrad - Ran PTX Health Check script. 
Date: 2024-04-09 12:50, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-09 13:00, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-10 7:17, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-10 7:18, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-10 7:19, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-10 7:37, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-10 7:37, Computer Name: BMA0005305, Username: mccabrad - Ran PTX Health Check script. 
Date: 2024-04-10 9:39, Computer Name: BMA0005305, Username: mccabrad - Ran AVI/MM2 reboot script. 
Date: 2024-04-10 18:34, Computer Name: BMA0005305, Username: mccabrad - Ran PTX Uptime script. 
Date: 2024-04-10 19:02, Computer Name: BMA0005305, Username: mccabrad - Ran PTX Health Check script. 
Date: 2024-04-10 19:47, Computer Name: BMA0005305, Username: mccabrad - Ran PTX Health Check script. 
Date: 2024-04-10 20:08, Computer Name: BMA0005305, Username: mccabrad - Ran PTX Health Check script. 
Date: 2024-04-10 22:27, Computer Name: BMA0005305, Username: mccabrad - Ran PTX Health Check script. 
Date: 2024-04-10 22:28, Computer Name: BMA0005305, Username: mccabrad - Ran PTX Health Check script. 
Date: 2024-04-11 1:08, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-11 6:44, Computer Name: BMA0008531, Username: boyddan - Ran IP Finder script. 
Date: 2024-04-11 6:44, Computer Name: BMA0008531, Username: boyddan - Ran PTX Health Check script. 
Date: 2024-04-11 6:44, Computer Name: BMA0008531, Username: boyddan - Ran AVI/MM2 reboot script. 
Date: 2024-04-12 11:43, Computer Name: BMA0008531, Username: welljaso - Ran IP Finder script. 
Date: 2024-04-12 11:43, Computer Name: BMA0008531, Username: welljaso - Ran PTX Health Check script. 
Date: 2024-04-12 11:44, Computer Name: BMA0008531, Username: welljaso - Ran PTX Health Check script. 
Date: 2024-04-12 11:45, Computer Name: BMA0008531, Username: welljaso - Ran PTX Health Check script. 
Date: 2024-04-12 11:45, Computer Name: BMA0008531, Username: welljaso - Ran PTX Health Check script. 
Date: 2024-04-12 16:32, Computer Name: BMA0008531, Username: boyddan - Ran MineView Session script. 
Date: 2024-04-12 16:40, Computer Name: BMA0008531, Username: boyddan - Ran PTX Uptime script. 
Date: 2024-04-12 22:08, Computer Name: BMA0005305, Username: ashfko - Ran PTX Health Check script. 
Date: 2024-04-12 22:43, Computer Name: BMA0005305, Username: ashfko - Ran PTX Health Check script. 
Date: 2024-04-12 23:38, Computer Name: BMA0005305, Username: ashfko - Ran PTX Uptime script. 
Date: 2024-04-13 1:10, Computer Name: BMA0005305, Username: ashfko - Ran PTX Health Check script. 
Date: 2024-04-13 6:46, Computer Name: BMA0005305, Username: coiabr5 - Ran IP Finder script. 
Date: 2024-04-13 9:01, Computer Name: BMA0005305, Username: coiabr5 - Ran MineView Session script. 
Date: 2024-04-13 18:40, Computer Name: BMA0005305, Username: coiabr5 - Ran PTX Health Check script. 
Date: 2024-04-13 18:40, Computer Name: BMA0005305, Username: coiabr5 - Ran PTX Uptime script. 
Date: 2024-04-13 18:41, Computer Name: BMA0005305, Username: coiabr5 - Ran MineView Session script. 
Date: 2024-04-13 18:50, Computer Name: BMA0005305, Username: coiabr5 - Ran PTX Health Check script. 
Date: 2024-04-14 5:31, Computer Name: BMA0005308, Username: lanebr - Ran MineView Session script. 
Date: 2024-04-14 7:23, Computer Name: BMA0005308, Username: lanebr - Ran PTX Uptime script. 
Date: 2024-04-14 7:23, Computer Name: BMA0005308, Username: lanebr - Ran PTX Health Check script. 
Date: 2024-04-14 7:27, Computer Name: BMA0005308, Username: lanebr - Ran PTX Health Check script. 
Date: 2024-04-15 5:44, Computer Name: BMA0005308, Username: lanebr - Ran PTX Uptime script. 
Date: 2024-04-15 5:44, Computer Name: BMA0005308, Username: lanebr - Ran PTX Health Check script. 
Date: 2024-04-15 5:46, Computer Name: BMA0005308, Username: lanebr - Ran PTX Uptime script. 
Date: 2024-04-16 7:01, Computer Name: BMA0008531, Username: boyddan - Ran IP Finder script. 
Date: 2024-04-16 7:01, Computer Name: BMA0008531, Username: boyddan - Ran PTX Health Check script. 
Date: 2024-04-16 7:02, Computer Name: BMA0008531, Username: boyddan - Ran PTX Health Check script. 
Date: 2024-04-16 7:08, Computer Name: BMA0008531, Username: boyddan - Ran AVI/MM2 reboot script. 
Date: 2024-04-16 9:14, Computer Name: BMA0008531, Username: boyddan - Ran IP Finder script. 
Date: 2024-04-16 15:31, Computer Name: BMA0008531, Username: boyddan - Ran IP Finder script. 
Date: 2024-04-16 18:41, Computer Name: BMA0005305, Username: ashfko - Ran PTX Uptime script. 
Date: 2024-04-16 20:33, Computer Name: BMA0005305, Username: ashfko - Ran PTX Health Check script. 
Date: 2024-04-16 20:34, Computer Name: BMA0005305, Username: ashfko - Ran PTX Health Check script. 
Date: 2024-04-16 20:38, Computer Name: BMA0005305, Username: ashfko - Ran PTX Health Check script. 
Date: 2024-04-16 21:58, Computer Name: BMA0005305, Username: ashfko - Ran AVI/MM2 reboot script. 
Date: 2024-04-16 22:04, Computer Name: BMA0005305, Username: ashfko - Ran AVI/MM2 reboot script. 
Date: 2024-04-17 3:44, Computer Name: BMA0005305, Username: ashfko - Ran PTX Health Check script. 
Date: 2024-04-17 3:48, Computer Name: BMA0005305, Username: ashfko - Ran PTX Health Check script. 
Date: 2024-04-17 3:48, Computer Name: BMA0005305, Username: ashfko - Ran PTX Health Check script. 
Date: 2024-04-17 17:40, Computer Name: BMA0005308, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-04-17 23:41, Computer Name: BMA0005308, Username: collnatha5 - Ran PTX Health Check script. 
Date: 2024-04-18 0:10, Computer Name: BMA0005308, Username: collnatha5 - Ran AVI/MM2 reboot script. 
Date: 2024-04-18 0:17, Computer Name: BMA0005308, Username: collnatha5 - Ran PTX Health Check script. 
Date: 2024-04-18 3:44, Computer Name: BMA0005308, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-04-18 3:44, Computer Name: BMA0005308, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-04-18 3:50, Computer Name: BMA0005308, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-04-18 19:13, Computer Name: BMA0008531, Username: LILLG5 - Ran IP Finder script. 
Date: 2024-04-18 20:23, Computer Name: BMA0008531, Username: LILLG5 - Ran IP Finder script. 
Date: 2024-04-19 2:23, Computer Name: BMA0008531, Username: LILLG5 - Ran PTX Health Check script. 
Date: 2024-04-19 2:23, Computer Name: BMA0008531, Username: LILLG5 - Ran PTX Health Check script. 
Date: 2024-04-19 7:35, Computer Name: BMA0008531, Username: LILLG5 - Ran PTX Uptime script. 
Date: 2024-04-19 12:11, Computer Name: BMA0008531, Username: LILLG5 - Ran PTX Health Check script. 
Date: 2024-04-19 12:11, Computer Name: BMA0008531, Username: LILLG5 - Ran PTX Health Check script. 
Date: 2024-04-19 12:18, Computer Name: BMA0008531, Username: LILLG5 - Ran IP Finder script. 
Date: 2024-04-19 18:33, Computer Name: BMA0008531, Username: LILLG5 - Ran IP Finder script. 
Date: 2024-04-20 1:10, Computer Name: BMA0005305, Username: holtch5 - Ran IP Finder script. 
Date: 2024-04-20 2:00, Computer Name: BMA0005305, Username: holtch5 - Ran IP Finder script. 
Date: 2024-04-20 2:12, Computer Name: BMA0005305, Username: holtch5 - Ran PTX Health Check script. 
Date: 2024-04-20 23:20, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-20 23:23, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-20 23:25, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-20 23:31, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-20 23:44, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-20 23:47, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-20 23:56, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-21 0:00, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-21 0:14, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-21 0:31, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-21 0:33, Computer Name: BMA0005305, Username: mccabrad - Ran Component Tracking script. 
Date: 2024-04-21 3:07, Computer Name: BMA0005305, Username: mccabrad - Ran Component Tracking script. 
Date: 2024-04-21 3:08, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-04-21 3:26, Computer Name: BMA0005305, Username: mccabrad - Ran Component Tracking script. 
Date: 2024-04-21 17:36, Computer Name: BMA0005308, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-04-21 18:10, Computer Name: BMA0005308, Username: collnatha5 - Ran PTX Health Check script. 
Date: 2024-04-21 18:30, Computer Name: BMA0005308, Username: collnatha5 - Ran PTX Health Check script. 
Date: 2024-04-21 18:30, Computer Name: BMA0005308, Username: collnatha5 - Ran PTX Health Check script. 
Date: 2024-04-21 18:51, Computer Name: BMA0005308, Username: collnatha5 - Ran AVI/MM2 reboot script. 
Date: 2024-04-21 18:59, Computer Name: BMA0005308, Username: collnatha5 - Ran PTX Health Check script. 
Date: 2024-04-21 18:59, Computer Name: BMA0005308, Username: collnatha5 - Ran PTX Health Check script. 
Date: 2024-04-21 20:04, Computer Name: BMA0005308, Username: collnatha5 - Ran AVI/MM2 reboot script. 
Date: 2024-04-22 17:33, Computer Name: BMA0005308, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-04-22 19:42, Computer Name: BMA0005308, Username: collnatha5 - Ran Component Tracking script. 
Date: 2024-04-22 20:34, Computer Name: BMA0005308, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-04-23 3:06, Computer Name: BMA0005308, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-04-23 3:10, Computer Name: BMA0005308, Username: collnatha5 - Ran PTX Health Check script. 
Date: 2024-04-23 4:50, Computer Name: BMA0005308, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-04-23 17:32, Computer Name: BMA0005308, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-04-23 17:32, Computer Name: BMA0005308, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-04-23 18:58, Computer Name: BMA0008531, Username: LILLG5 - Ran IP Finder script. 
Date: 2024-04-23 20:54, Computer Name: BMA0008531, Username: bauemi5 - Ran IP Finder script. 
Date: 2024-04-23 23:13, Computer Name: BMA0005305, Username: holtch5 - Ran IP Finder script. 
Date: 2024-04-23 23:13, Computer Name: BMA0005305, Username: holtch5 - Ran IP Finder script. 
Date: 2024-04-24 19:27, Computer Name: BMA0005305, Username: holtch5 - Ran PTX Health Check script. 
Date: 2024-04-24 20:22, Computer Name: BMA0005305, Username: holtch5 - Ran MineView Session script. 
Date: 2024-04-24 20:22, Computer Name: BMA0005305, Username: holtch5 - Ran MineView Session script. 
Date: 2024-04-25 12:01, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-25 12:01, Computer Name: BMA0005305, Username: greyde - Ran PTX Uptime script. 
Date: 2024-04-25 12:09, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-25 20:47, Computer Name: BMA0005305, Username: greyde - Ran IP Finder script. 
Date: 2024-04-26 1:35, Computer Name: BMA0005305, Username: greyde - Ran MineView Session script. 
Date: 2024-04-26 1:40, Computer Name: BMA0005305, Username: greyde - Ran MineView Session script. 
Date: 2024-04-26 1:52, Computer Name: BMA0005305, Username: greyde - Ran IP Finder script. 
Date: 2024-04-26 14:44, Computer Name: BMA0008531, Username: ocondani - Ran IP Finder script. 
Date: 2024-04-26 14:44, Computer Name: BMA0008531, Username: ocondani - Ran PTX Health Check script. 
Date: 2024-04-27 2:05, Computer Name: BMA0008531, Username: jametim5 - Ran PTX Uptime script. 
Date: 2024-04-27 2:06, Computer Name: BMA0008531, Username: jametim5 - Ran PTX Health Check script. 
Date: 2024-04-27 6:25, Computer Name: BMA0008531, Username: jametim5 - Ran IP Finder script. 
Date: 2024-04-27 7:16, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-27 7:16, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-27 10:14, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-27 20:09, Computer Name: BMA0005305, Username: greyde - Ran IP Finder script. 
Date: 2024-04-27 20:11, Computer Name: BMA0005305, Username: greyde - Ran IP Finder script. 
Date: 2024-04-27 20:11, Computer Name: BMA0005305, Username: greyde - Ran PTX Uptime script. 
Date: 2024-04-27 20:12, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-28 3:17, Computer Name: BMA0005305, Username: greyde - Ran IP Finder script. 
Date: 2024-04-28 18:39, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-29 2:55, Computer Name: BMA0005305, Username: greyde - Ran IP Finder script. 
Date: 2024-04-29 2:55, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-29 2:58, Computer Name: BMA0005305, Username: greyde - Ran AVI/MM2 reboot script. 
Date: 2024-04-29 11:34, Computer Name: BMA0005305, Username: greyde - Ran PTX Uptime script. 
Date: 2024-04-29 11:35, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-29 14:56, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-29 22:12, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-29 22:13, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-29 22:58, Computer Name: BMA0005305, Username: greyde - Ran IP Finder script. 
Date: 2024-04-29 23:02, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-29 23:42, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-04-30 4:45, Computer Name: BMA0005305, Username: greyde - Ran IP Finder script. 
Date: 2024-05-01 6:23, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-05-01 6:23, Computer Name: BMA0005305, Username: mccabrad - Ran AVI/MM2 reboot script. 
Date: 2024-05-01 8:07, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-05-01 8:16, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-05-01 16:08, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-05-01 18:39, Computer Name: BMA0008531, Username: collnatha5 - Ran MineView Session script. 
Date: 2024-05-02 6:38, Computer Name: BMA0008531, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-05-02 12:11, Computer Name: BMA0008531, Username: collnatha5 - Ran PTX Health Check script. 
Date: 2024-05-03 6:51, Computer Name: BMA0008531, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-05-03 6:51, Computer Name: BMA0008531, Username: collnatha5 - Ran PTX Health Check script. 
Date: 2024-05-03 7:20, Computer Name: BMA0008531, Username: collnatha5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-03 12:07, Computer Name: BMA0008531, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-05-03 12:07, Computer Name: BMA0008531, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-05-04 6:53, Computer Name: BMA0008531, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-05-05 7:12, Computer Name: BMA0008531, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-05-05 7:13, Computer Name: BMA0008531, Username: collnatha5 - Ran PTX Health Check script. 
Date: 2024-05-05 13:48, Computer Name: BMA0008531, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-05-05 13:49, Computer Name: BMA0008531, Username: collnatha5 - Ran PTX Health Check script. 
Date: 2024-05-06 13:41, Computer Name: BMA0008531, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-05-07 13:04, Computer Name: BMA0008531, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-05-07 15:41, Computer Name: BMA0008531, Username: collnatha5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-08 13:19, Computer Name: BMA0008531, Username: collnatha5 - Ran IP Finder script. 
Date: 2024-05-08 13:19, Computer Name: BMA0008531, Username: collnatha5 - Ran PTX Health Check script. 
Date: 2024-05-08 18:36, Computer Name: BMA0005305, Username: ocondani - Ran IP Finder script. 
Date: 2024-05-08 18:36, Computer Name: BMA0005305, Username: ocondani - Ran PTX Uptime script. 
Date: 2024-05-08 18:37, Computer Name: BMA0005305, Username: ocondani - Ran PTX Health Check script. 
Date: 2024-05-08 19:55, Computer Name: BMA0008531, Username: jametim5 - Ran PTX Health Check script. 
Date: 2024-05-08 19:56, Computer Name: BMA0008531, Username: jametim5 - Ran PTX Health Check script. 
Date: 2024-05-08 20:40, Computer Name: BMA0008531, Username: jametim5 - Ran PTX Health Check script. 
Date: 2024-05-08 23:44, Computer Name: BMA0005308, Username: jametim5 - Ran PTX Uptime script. 
Date: 2024-05-08 23:56, Computer Name: BMA0005308, Username: jametim5 - Ran PTX Health Check script. 
Date: 2024-05-09 17:44, Computer Name: BMA0005308, Username: jametim5 - Ran MineView Session script. 
Date: 2024-05-09 19:57, Computer Name: BMA0005308, Username: jametim5 - Ran PTX Health Check script. 
Date: 2024-05-09 19:59, Computer Name: BMA0005308, Username: jametim5 - Ran PTX Uptime script. 
Date: 2024-05-09 21:14, Computer Name: BMA0005308, Username: jametim5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-10 23:18, Computer Name: BMA0005308, Username: jametim5 - Ran PTX Health Check script. 
Date: 2024-05-11 18:31, Computer Name: BMA0005308, Username: jametim5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-12 17:52, Computer Name: BMA0005308, Username: jametim5 - Ran MineView Session script. 
Date: 2024-05-12 19:43, Computer Name: BMA0005305, Username: salcce - Ran IP Finder script. 
Date: 2024-05-12 19:43, Computer Name: BMA0005305, Username: salcce - Ran PTX Health Check script. 
Date: 2024-05-13 19:37, Computer Name: BMA0005305, Username: salcce - Ran IP Finder script. 
Date: 2024-05-13 19:38, Computer Name: BMA0005305, Username: salcce - Ran PTX Health Check script. 
Date: 2024-05-13 23:43, Computer Name: BMA0005305, Username: ocondani - Ran IP Finder script. 
Date: 2024-05-13 23:44, Computer Name: BMA0005305, Username: ocondani - Ran PTX Health Check script. 
Date: 2024-05-14 18:43, Computer Name: BMA0005305, Username: ocondani - Ran MineView Session script. 
Date: 2024-05-15 7:36, Computer Name: BMA0008531, Username: PA_streluc5 - Ran IP Finder script. 
Date: 2024-05-15 10:09, Computer Name: BMA0008531, Username: PA_streluc5 - Ran PTX Uptime script. 
Date: 2024-05-15 18:36, Computer Name: BMA0008531, Username: PA_streluc5 - Ran IP Finder script. 
Date: 2024-05-15 18:37, Computer Name: BMA0008531, Username: PA_streluc5 - Ran PTX Health Check script. 
Date: 2024-05-16 6:35, Computer Name: BMA0005308, Username: bauemi5 - Ran IP Finder script. 
Date: 2024-05-16 9:57, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-16 9:57, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-16 9:57, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-16 10:23, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-16 10:26, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-16 15:29, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-16 18:00, Computer Name: BMA0005308, Username: bauemi5 - Ran PTX Health Check script. 
Date: 2024-05-16 23:11, Computer Name: BMA0005308, Username: bauemi5 - Ran Speed Limit data check script. 
Date: 2024-05-16 23:11, Computer Name: BMA0005308, Username: bauemi5 - Ran Speed Limit data check script. 
Date: 2024-05-16 23:11, Computer Name: BMA0005308, Username: bauemi5 - Ran Speed Limit data check script. 
Date: 2024-05-16 23:11, Computer Name: BMA0005308, Username: bauemi5 - Ran Live KOA Data script. 
Date: 2024-05-16 23:13, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-17 10:16, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-18 13:08, Computer Name: BMA0005308, Username: bauemi5 - Ran PTX Uptime script. 
Date: 2024-05-18 13:13, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-18 13:21, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-18 16:49, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-18 16:53, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-19 6:38, Computer Name: BMA0005308, Username: bauemi5 - Ran PTX Uptime script. 
Date: 2024-05-19 8:31, Computer Name: BMA0005308, Username: bauemi5 - Ran PTX Uptime script. 
Date: 2024-05-20 7:13, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-20 7:48, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-20 15:22, Computer Name: BMA0005308, Username: bauemi5 - Ran PTX Health Check script. 
Date: 2024-05-20 18:02, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-20 21:11, Computer Name: BMA0005308, Username: bauemi5 - Ran PTX Health Check script. 
Date: 2024-05-21 6:37, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-21 6:43, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-21 7:24, Computer Name: BMA0005308, Username: bauemi5 - Ran PTX Uptime script. 
Date: 2024-05-21 15:12, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-21 15:13, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-21 15:42, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-21 15:58, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-21 16:17, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-21 20:24, Computer Name: BMA0005308, Username: bauemi5 - Ran AVI/MM2 reboot script. 
Date: 2024-05-21 20:24, Computer Name: BMA0005308, Username: bauemi5 - Ran PTX Health Check script. 
Date: 2024-05-21 23:58, Computer Name: BMA0005305, Username: mccabrad - Ran IP Finder script. 
Date: 2024-05-22 0:02, Computer Name: BMA0005305, Username: mccabrad - Ran AVI/MM2 reboot script. 
Date: 2024-05-24 16:54, Computer Name: BMA0008531, Username: jametim5 - Ran IP Finder script. 
Date: 2024-05-24 16:54, Computer Name: BMA0008531, Username: jametim5 - Ran PTX Health Check script. 
Date: 2024-05-24 18:44, Computer Name: BMA0008531, Username: jametim5 - Ran MineView Session script. 
Date: 2024-05-26 23:21, Computer Name: BMA0005305, Username: greyde - Ran MineView Session script. 
Date: 2024-05-27 1:07, Computer Name: BMA0005305, Username: greyde - Ran PTX Health Check script. 
Date: 2024-05-27 1:07, Computer Name: BMA0005305, Username: greyde - Ran IP Finder script. 
Date: 2024-05-27 23:13, Computer Name: BMA0008531, Username: jametim5 - Ran IP Finder script. 
Date: 2024-05-30 3:48, Computer Name: BMA0008531, Username: jametim5 - Ran IP Finder script. 
Date: 2024-05-30 8:14, Computer Name: BMA0008531, Username: jametim5 - Ran IP Finder script. 
Date: 2024-05-31 6:24, Computer Name: BMA0008531, Username: jametim5 - Ran IP Finder script. 
Date: 2024-06-01 6:24, Computer Name: BMA0008531, Username: jametim5 - Ran IP Finder script. 
Date: 2024-06-02 21:15, Computer Name: BMA0008531, Username: parkad5 - Ran IP Finder script. 
Date: 2024-06-03 6:37, Computer Name: BMA0008531, Username: parkad5 - Ran IP Finder script. 
Date: 2024-06-03 6:38, Computer Name: BMA0008531, Username: parkad5 - Ran IP Finder script. 
Date: 2024-06-03 6:40, Computer Name: BMA0008531, Username: parkad5 - Ran IP Finder script. 
Date: 2024-06-03 11:22, Computer Name: BMA0008531, Username: parkad5 - Ran IP Finder script. 
Date: 2024-04-06 7:34, Computer Name: BMA0005305, Username: moorjay5 - Ran IP Finder script. 
Date: 2024-04-06 7:34, Computer Name: BMA0005305, Username: moorjay5 - Ran PTX Health Check script. 
Date: 2024-06-04 13:40, Computer Name: BMA0008531, Username: bauemi5 - Ran IP Finder script. 
Date: 2024-06-04 21:00, Computer Name: BMA0008531, Username: PA_streluc5 - Ran PTX Uptime script. 
Date: 2024-06-04 21:00, Computer Name: BMA0008531, Username: PA_streluc5 - Ran PTX Health Check script. 
Date: 2024-06-04 21:00, Computer Name: BMA0008531, Username: PA_streluc5 - Ran IP Finder script. 
